contract_awarded_to,data_source,contract_award_price,contract_id,contract_title,awarding_agency_link,contract_signed_on,awarding_ministry,currency,awarding_agency,tender_description,estimated_contract_completion_date,tender_type,tender_lot_Numbers,address,scraped_time,company_email,tender_package_no,awarding_agency_ministry
RYK ADS LTD,https://www.ppaghana.org/contractdetail.asp?Con_ID=449,28980.0,449.0,Printing of Stationery Items,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=335,2014-05-12,Ministry of Interior,New Ghana Cedi,Ghana Police Service,Printing of Stationery Items,2028-09-12,NCT,6,"BOX PMB140, ACCRA CENTRAL",2017-10-06 13:33:55.268555,,GR/GHPOS/GD/0010/2012,Ghana Police Service /Ministry of Interior
UNIGUE AMANA,https://www.ppaghana.org/contractdetail.asp?Con_ID=450,141910.0,450.0,Printing of Stationery Items,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=335,2014-05-12,Ministry of Interior,New Ghana Cedi,Ghana Police Service,Printing of Stationery Items,2028-09-12,NCT,7,"BOX OS2586, OSU-ACCRA",2017-10-06 13:33:55.173564,,GR/GHPOS/GD/0010/2012,Ghana Police Service /Ministry of Interior
PACNAB ENT.,https://www.ppaghana.org/contractdetail.asp?Con_ID=451,143750.0,451.0,Printing of Stationery Items,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=335,2014-05-12,Ministry of Interior,New Ghana Cedi,Ghana Police Service,Printing of Stationery Items,2028-09-12,NCT,8,"BOX CT2317, C'MENT-ACCRA",2017-10-06 13:34:12.538856,,GR/GHPOS/GD/0010/2012,Ghana Police Service /Ministry of Interior
PAGNAS ENT.,https://www.ppaghana.org/contractdetail.asp?Con_ID=452,215050.0,452.0,Printing of Stationery Items,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=335,2014-05-12,Ministry of Interior,New Ghana Cedi,Ghana Police Service,Printing of Stationery Items,2028-09-12,NCT,9,"BOX 668, MADINA-ACCRA",2017-10-06 13:35:08.229157,,GR/GHPOS/GD/0010/2012,Ghana Police Service /Ministry of Interior
FIDEC LTD,https://www.ppaghana.org/contractdetail.asp?Con_ID=453,27312.5,453.0,Printing of Stationery Items,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=335,2014-05-12,Ministry of Interior,New Ghana Cedi,Ghana Police Service,Printing of Stationery Items,2028-09-12,NCT,10,"BOX OS1881, OSU-ACCRA",2017-10-06 13:35:00.176829,,GR/GHPOS/GD/0010/2012,Ghana Police Service /Ministry of Interior
AKAKRADE ENT.,https://www.ppaghana.org/contractdetail.asp?Con_ID=454,65550.0,454.0,Printing of Stationery Items,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=335,2014-05-12,Ministry of Interior,New Ghana Cedi,Ghana Police Service,Printing of Stationery Items,2028-09-12,NCT,11,"BOX 6, ABAKOASE-ER",2017-10-06 13:35:17.519048,,GR/GHPOS/GD/0010/2012,Ghana Police Service /Ministry of Interior
AKAKRADE ENT.,https://www.ppaghana.org/contractdetail.asp?Con_ID=455,65550.0,455.0,Printing of Stationery Items,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=335,2014-05-12,Ministry of Interior,New Ghana Cedi,Ghana Police Service,Printing of Stationery Items,2028-09-12,NCT,11,"BOX 6, ABAKOASE-ER",2017-10-06 13:34:01.097128,,GR/GHPOS/GD/0010/2012,Ghana Police Service /Ministry of Interior
ACQUAAH JNR. & FAMILY  CO. LTD,https://www.ppaghana.org/contractdetail.asp?Con_ID=456,61525.0,456.0,Printing of Stationery Items,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=335,2014-05-12,Ministry of Interior,New Ghana Cedi,Ghana Police Service,Printing of Stationery Items,2028-09-12,NCT,12,"BOX 10685, ACCRA-NORTH",2017-10-06 13:35:27.462001,,GR/GHPOS/GD/0010/2012,Ghana Police Service /Ministry of Interior
DESIGN REPUBLIC LTD.,https://www.ppaghana.org/contractdetail.asp?Con_ID=457,16480.0,457.0,Printing of Stationery Items,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=335,2014-05-12,Ministry of Interior,New Ghana Cedi,Ghana Police Service,Printing of Stationery Items,2028-09-12,NCT,13,"BOX DS1003, DANSOMAN-ACCRA",2017-10-06 13:35:15.136815,,GR/GHPOS/GD/0010/2012,Ghana Police Service /Ministry of Interior
YASARKO PRESS LTD,https://www.ppaghana.org/contractdetail.asp?Con_ID=458,65550.0,458.0,Printing of Stationery Items,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=335,2014-05-12,Ministry of Interior,New Ghana Cedi,Ghana Police Service,Printing of Stationery Items,2028-09-12,NCT,14,"BOX GP14238, ACCRA",2017-10-06 13:35:26.220903,,GR/GHPOS/GD/0010/2012,Ghana Police Service /Ministry of Interior
PARAMOUNT PRINTING WORKS LTD,https://www.ppaghana.org/contractdetail.asp?Con_ID=459,62100.0,459.0,Printing of Stationery Items,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=335,2014-05-12,Ministry of Interior,New Ghana Cedi,Ghana Police Service,Printing of Stationery Items,2028-09-12,NCT,15,"BOX 4109, ACCRA",2017-10-06 13:35:12.232705,,GR/GHPOS/GD/0010/2012,Ghana Police Service /Ministry of Interior
MIGHTY-SKY GH. LTD.,https://www.ppaghana.org/contractdetail.asp?Con_ID=460,86250.0,460.0,Printing of Stationery Items,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=335,2014-05-12,Ministry of Interior,New Ghana Cedi,Ghana Police Service,Printing of Stationery Items,2028-09-12,NCT,16,"BOX 437, MALLAM-ACCRA",2017-10-06 13:35:22.290279,,GR/GHPOS/GD/0010/2012,Ghana Police Service /Ministry of Interior
BOTESS PRINTING PRESS,https://www.ppaghana.org/contractdetail.asp?Con_ID=461,48990.0,461.0,Printing of Stationery Items,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=335,2014-05-12,Ministry of Interior,New Ghana Cedi,Ghana Police Service,Printing of Stationery Items,2028-09-12,NCT,17,"BOX GP 18980, ACCRA",2017-10-06 13:35:17.290131,,GR/GHPOS/GD/0010/2012,Ghana Police Service /Ministry of Interior
RICKTAP CO. LTD.,https://www.ppaghana.org/contractdetail.asp?Con_ID=462,74750.0,462.0,Printing of Stationery Items,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=335,2014-05-12,Ministry of Interior,New Ghana Cedi,Ghana Police Service,Printing of Stationery Items,2028-09-12,NCT,18,"BOX AN19847, ACCRA",2017-10-06 13:35:16.640785,,GR/GHPOS/GD/0010/2012,Ghana Police Service /Ministry of Interior
WUNBERIC CO. LTD.,https://www.ppaghana.org/contractdetail.asp?Con_ID=463,72450.0,463.0,Printing of Stationery Items,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=335,2014-05-12,Ministry of Interior,New Ghana Cedi,Ghana Police Service,Printing of Stationery Items,2028-09-12,NCT,19,"BOX CT4587, C'MENT-ACCRA",2017-10-06 13:35:17.112631,,GR/GHPOS/GD/0010/2012,Ghana Police Service /Ministry of Interior
GINCAL VENTURES,https://www.ppaghana.org/contractdetail.asp?Con_ID=464,198375.0,464.0,Printing of Stationery Items,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=335,2014-05-12,Ministry of Interior,New Ghana Cedi,Ghana Police Service,Printing of Stationery Items,2028-09-12,NCT,20,"BOX PMB CT208, C'MENTS-ACCRA",2017-10-06 13:35:19.524500,,GR/GHPOS/GD/0010/2012,Ghana Police Service /Ministry of Interior
RANA MOTORS & METAL WKS ENG. CO. LTD.,https://www.ppaghana.org/contractdetail.asp?Con_ID=465,39920.0,465.0,Supply of Vehicles and Accessories,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=335,2014-05-12,Ministry of Interior,New Ghana Cedi,Ghana Police Service,Supply of Vehicles and Accessories,2028-09-12,NCT,1,"BOX 7617, ACCRA-NORTH",2017-10-06 13:35:21.340748,,GR/GHPOS/GD/0011/2012,Ghana Police Service /Ministry of Interior
ZARTVIC GH. LTD.,https://www.ppaghana.org/contractdetail.asp?Con_ID=466,53820.0,466.0,Supply of Vehicles and Accessories,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=335,2014-05-12,Ministry of Interior,New Ghana Cedi,Ghana Police Service,Supply of Vehicles and Accessories,2028-09-12,NCT,2,"BOX 401, DARKUMAN-ACCRA",2017-10-06 13:35:19.879973,,GR/GHPOS/GD/0011/2012,Ghana Police Service /Ministry of Interior
COMAC AUTO PARTS LTD.,https://www.ppaghana.org/contractdetail.asp?Con_ID=467,16068.0,467.0,Supply of Vehicles and Accessories,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=335,2014-05-12,Ministry of Interior,New Ghana Cedi,Ghana Police Service,Supply of Vehicles and Accessories,2028-09-12,NCT,3,"BOX 90, ABEKA - ACCRA",2017-10-06 13:35:19.208781,,GR/GHPOS/GD/0011/2012,Ghana Police Service /Ministry of Interior
BEZEK SHALOM,https://www.ppaghana.org/contractdetail.asp?Con_ID=468,144670.0,468.0,Supply of Vehicles and Accessories,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=335,2014-05-12,Ministry of Interior,New Ghana Cedi,Ghana Police Service,Supply of Vehicles and Accessories,2028-09-12,NCT,4,"BOX 1125, ABOSSEY OKAI-ACCRA",2017-10-06 13:35:23.190246,,GR/GHPOS/GD/0011/2012,Ghana Police Service /Ministry of Interior
CAITEC DELTA LTD,https://www.ppaghana.org/contractdetail.asp?Con_ID=469,397302.0,469.0,Supply of Vehicles and Accessories,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=335,2014-05-12,Ministry of Interior,New Ghana Cedi,Ghana Police Service,Supply of Vehicles and Accessories,2028-09-12,NCT,5,"BOX 20133, ACCRA",2017-10-06 13:35:23.653127,,GR/GHPOS/GD/0011/2012,Ghana Police Service /Ministry of Interior
CAITEC DELTA LTD,https://www.ppaghana.org/contractdetail.asp?Con_ID=470,314824.0,470.0,Supply of Vehicles and Accessories,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=335,2014-05-12,Ministry of Interior,New Ghana Cedi,Ghana Police Service,Supply of Vehicles and Accessories,2028-09-12,NCT,6,"BOX 20133, ACCRA",2017-10-06 13:35:21.819797,,GR/GHPOS/GD/0011/2012,Ghana Police Service /Ministry of Interior
CAITEC DELTA LTD,https://www.ppaghana.org/contractdetail.asp?Con_ID=471,210864.0,471.0,Supply of Vehicles and Accessories,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=335,2014-05-12,Ministry of Interior,New Ghana Cedi,Ghana Police Service,Supply of Vehicles and Accessories,2028-09-12,NCT,7,"BOX 20133, ACCRA",2017-10-06 13:35:23.431170,,GR/GHPOS/GD/0011/2012,Ghana Police Service /Ministry of Interior
TRADE VISION LTD,https://www.ppaghana.org/contractdetail.asp?Con_ID=472,150075.0,472.0,Supply of Vehicles and Accessories,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=335,2014-05-12,Ministry of Interior,New Ghana Cedi,Ghana Police Service,Supply of Vehicles and Accessories,2028-09-12,NCT,8,"BOX GP17992, ACCRA",2017-10-06 13:35:22.976630,,GR/GHPOS/GD/0011/2012,Ghana Police Service /Ministry of Interior
FANTEGAH CO. LTD.,https://www.ppaghana.org/contractdetail.asp?Con_ID=473,124108.0,473.0,Supply of Vehicles and Accessories,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=335,2014-05-12,Ministry of Interior,New Ghana Cedi,Ghana Police Service,Supply of Vehicles and Accessories,2028-09-12,NCT,9,"BOX KN3333, KANESHIE-ACCRA",2017-10-06 13:35:25.849655,,GR/GHPOS/GD/0011/2012,Ghana Police Service /Ministry of Interior
CAITEC DELTA LTD,https://www.ppaghana.org/contractdetail.asp?Con_ID=474,82627.5,474.0,Supply of Vehicles and Accessories,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=335,2014-05-12,Ministry of Interior,New Ghana Cedi,Ghana Police Service,Supply of Vehicles and Accessories,2028-09-12,NCT,10,"BOX 20133, ACCRA",2017-10-06 13:35:25.359187,,GR/GHPOS/GD/0011/2012,Ghana Police Service /Ministry of Interior
MALCON AGENCY,https://www.ppaghana.org/contractdetail.asp?Con_ID=475,255788.75,475.0,Supply of Vehicles and Accessories,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=335,2014-05-12,Ministry of Interior,New Ghana Cedi,Ghana Police Service,Supply of Vehicles and Accessories,2028-09-12,NCT,11,"BOX 10389, ACCRA-NORTH",2017-10-06 13:35:27.306878,,GR/GHPOS/GD/0011/2012,Ghana Police Service /Ministry of Interior
UNIVERSAL {G&O} SUPPLIES,https://www.ppaghana.org/contractdetail.asp?Con_ID=476,223140.83,476.0,Supply of Vehicles and Accessories,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=335,2014-05-12,Ministry of Interior,New Ghana Cedi,Ghana Police Service,Supply of Vehicles and Accessories,2028-09-12,NCT,12,"BOX 16513, KIA-ACCRA",2017-10-06 13:35:27.943200,,GR/GHPOS/GD/0011/2012,Ghana Police Service /Ministry of Interior
FANTEGAH CO. LTD.,https://www.ppaghana.org/contractdetail.asp?Con_ID=477,70575.5,477.0,Supply of Vehicles and Accessories,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=335,2014-05-12,Ministry of Interior,New Ghana Cedi,Ghana Police Service,Supply of Vehicles and Accessories,2028-09-12,NCT,13,"BOX KN 3333, KANESHIE-ACCRA",2017-10-06 13:35:28.081180,,GR/GHPOS/GD/0011/2012,Ghana Police Service /Ministry of Interior
TRADE VISION LTD,https://www.ppaghana.org/contractdetail.asp?Con_ID=478,120750.0,478.0,Supply of Vehicles and Accessories,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=335,2014-05-12,Ministry of Interior,New Ghana Cedi,Ghana Police Service,Supply of Vehicles and Accessories,2028-09-12,NCT,14,"BOX GP17992, ACCRA",2017-10-06 13:36:39.776833,,GR/GHPOS/GD/0011/2012,Ghana Police Service /Ministry of Interior
COLOUR PLANET LTD,https://www.ppaghana.org/contractdetail.asp?Con_ID=479,69920.0,479.0,Supply of Vehicles and Accessories,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=335,2014-05-12,Ministry of Interior,New Ghana Cedi,Ghana Police Service,Supply of Vehicles and Accessories,2028-09-12,NCT,15,"BOX PMB 232, ACCRA-NORTH",2017-10-06 13:36:48.623115,,GR/GHPOS/GD/0011/2012,Ghana Police Service /Ministry of Interior
GLOBAL VIEW MARKETING LTD,https://www.ppaghana.org/contractdetail.asp?Con_ID=480,110400.0,480.0,Supply of Vehicles and Accessories,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=335,2014-05-12,Ministry of Interior,New Ghana Cedi,Ghana Police Service,Supply of Vehicles and Accessories,2028-09-12,NCT,16,"BOX CT 2087, C'MENT-ACCRA",2017-10-06 13:35:35.118718,,GR/GHPOS/GD/0011/2012,Ghana Police Service /Ministry of Interior
CRYSTAL PLUS GH. LTD.,https://www.ppaghana.org/contractdetail.asp?Con_ID=481,110400.0,481.0,Supply of Vehicles and Accessories,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=335,2014-05-12,Ministry of Interior,New Ghana Cedi,Ghana Police Service,Supply of Vehicles and Accessories,2028-09-12,NCT,17,"BOX GP17992, ACCRA",2017-10-09 10:20:41.974152,,GR/GHPOS/GD/0011/2012,Ghana Police Service /Ministry of Interior
OPENWAY CO. LTD,https://www.ppaghana.org/contractdetail.asp?Con_ID=482,73600.0,482.0,Supply of Vehicles and Accessories,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=335,2014-05-12,Ministry of Interior,New Ghana Cedi,Ghana Police Service,Supply of Vehicles and Accessories,2028-09-12,NCT,18,"BOX GP3033, ACCRA",2017-10-06 13:35:56.817902,,GR/GHPOS/GD/0011/2012,Ghana Police Service /Ministry of Interior
H. A. ONEDAY CONST. CO. LTD.,https://www.ppaghana.org/contractdetail.asp?Con_ID=483,45885.0,483.0,Supply of Vehicles and Accessories,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=335,2014-05-12,Ministry of Interior,New Ghana Cedi,Ghana Police Service,Supply of Vehicles and Accessories,2028-09-12,NCT,19,"BOX KT172, KOTOBABI-ACCRA",2017-10-06 13:36:27.918315,,GR/GHPOS/GD/0011/2012,Ghana Police Service /Ministry of Interior
SARAGO LTD.,https://www.ppaghana.org/contractdetail.asp?Con_ID=484,34500.0,484.0,Supply of Building Materials,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=335,2014-05-12,Ministry of Interior,New Ghana Cedi,Ghana Police Service,Supply of Building Materials,2028-09-12,NCT,1,"BOX 9863, DANSOMAN-ACCRA",2017-10-06 13:36:46.198891,,GR/GHPOS/GD/0009/2012,Ghana Police Service /Ministry of Interior
DKG ENG. LTD,https://www.ppaghana.org/contractdetail.asp?Con_ID=485,22476.75,485.0,Supply of Building Materials,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=335,2014-05-12,Ministry of Interior,New Ghana Cedi,Ghana Police Service,Supply of Building Materials,2028-09-12,NCT,2,"BOX 5063, ACCRA-NORTH",2017-10-06 13:36:39.020632,,GR/GHPOS/GD/0009/2012,Ghana Police Service /Ministry of Interior
ROYAL CREEK ENT.,https://www.ppaghana.org/contractdetail.asp?Con_ID=486,34968.5,486.0,Supply of Building Materials,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=335,2014-05-12,Ministry of Interior,New Ghana Cedi,Ghana Police Service,Supply of Building Materials,2028-09-12,NCT,3A,"BOX MD 113, ACCRA",2017-10-06 13:36:44.108058,,GR/GHPOS/GD/0009/2012,Ghana Police Service /Ministry of Interior
TONYNAN CO. LTD,https://www.ppaghana.org/contractdetail.asp?Con_ID=487,79350.0,487.0,Supply of Building Materials,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=335,2014-05-12,Ministry of Interior,New Ghana Cedi,Ghana Police Service,Supply of Building Materials,2028-09-12,NCT,4,"BOX TF122, TRADE-FAIR, ACCRA",2017-10-06 13:36:16.757629,,GR/GHPOS/GD/0009/2012,Ghana Police Service /Ministry of Interior
FASJOE CO. LTD,https://www.ppaghana.org/contractdetail.asp?Con_ID=488,41966.32,488.0,Supply of Building Materials,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=335,2014-05-12,Ministry of Interior,New Ghana Cedi,Ghana Police Service,Supply of Building Materials,2028-09-12,NCT,4A,"BOX 5768, C'MENTS-ACCRA",2017-10-06 13:36:13.233038,,GR/GHPOS/GD/0009/2012,Ghana Police Service /Ministry of Interior
CHAKAN ENT. LTD.,https://www.ppaghana.org/contractdetail.asp?Con_ID=489,82800.0,489.0,Supply of Building Materials,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=335,2014-05-12,Ministry of Interior,New Ghana Cedi,Ghana Police Service,Supply of Building Materials,2028-09-12,NCT,5,"BOX OS3064, OSU-ACCRA",2017-10-06 13:36:40.121359,,GR/GHPOS/GD/0009/2012,Ghana Police Service /Ministry of Interior
VIRTUE CO. LTD.,https://www.ppaghana.org/contractdetail.asp?Con_ID=490,42320.0,490.0,Supply of Building Materials,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=335,2014-05-12,Ministry of Interior,New Ghana Cedi,Ghana Police Service,Supply of Building Materials,2028-09-12,NCT,5A,"BOX 9165, AHINSAN-KUMASI",2017-10-09 10:21:35.689714,,GR/GHPOS/GD/0009/2012,Ghana Police Service /Ministry of Interior
DECCOS ENT. LTD,https://www.ppaghana.org/contractdetail.asp?Con_ID=491,62962.5,491.0,Supply of Building Materials,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=335,2014-05-12,Ministry of Interior,New Ghana Cedi,Ghana Police Service,Supply of Building Materials,2028-09-12,NCT,6,"BOX 178, HO-VR",2017-10-09 10:22:06.222002,,GR/GHPOS/GD/0009/2012,Ghana Police Service /Ministry of Interior
A-NINAK ENT.,https://www.ppaghana.org/contractdetail.asp?Con_ID=492,67505.0,492.0,Supply of Building Materials,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=335,2014-05-12,Ministry of Interior,New Ghana Cedi,Ghana Police Service,Supply of Building Materials,2028-09-12,NCT,7,"BOX AS 222, ADENTA-ACCRA`",2017-10-06 13:36:42.399827,,GR/GHPOS/GD/0009/2012,Ghana Police Service /Ministry of Interior
PAT GOODNAME ENT.,https://www.ppaghana.org/contractdetail.asp?Con_ID=493,40250.0,493.0,Supply of Building Materials,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=335,2014-05-12,Ministry of Interior,New Ghana Cedi,Ghana Police Service,Supply of Building Materials,2028-09-12,NCT,8,"BOX TS384, TSITO-VR",2017-10-06 13:36:35.910566,,GR/GHPOS/GD/0009/2012,Ghana Police Service /Ministry of Interior
METAH AGENCIES,https://www.ppaghana.org/contractdetail.asp?Con_ID=494,38766.5,494.0,Supply of Building Materials,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=335,2014-05-12,Ministry of Interior,New Ghana Cedi,Ghana Police Service,Supply of Building Materials,2028-09-12,NCT,9,"BOX 10726, ACCRA-NORTH",2017-10-09 10:21:53.877340,,GR/GHPOS/GD/0009/2012,Ghana Police Service /Ministry of Interior
HOME SHOPPER LTD,https://www.ppaghana.org/contractdetail.asp?Con_ID=495,59800.0,495.0,Supply of Building Materials,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=335,2014-05-12,Ministry of Interior,New Ghana Cedi,Ghana Police Service,Supply of Building Materials,2028-09-12,NCT,10,"BOX DC58, DANSOMAN-ACCRA",2017-10-06 13:36:43.280250,,GR/GHPOS/GD/0009/2012,Ghana Police Service /Ministry of Interior
MEDIMAFOSO CO. LTD,https://www.ppaghana.org/contractdetail.asp?Con_ID=496,42550.0,496.0,Supply of Building Materials,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=335,2014-05-12,Ministry of Interior,New Ghana Cedi,Ghana Police Service,Supply of Building Materials,2028-09-12,NCT,11,"BOX CK175, ACCRA",2017-10-06 13:36:41.917668,,GR/GHPOS/GD/0009/2012,Ghana Police Service /Ministry of Interior
CATERSO CO. LTD,https://www.ppaghana.org/contractdetail.asp?Con_ID=497,41975.0,497.0,Supply of Building Materials,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=335,2014-05-12,Ministry of Interior,New Ghana Cedi,Ghana Police Service,Supply of Building Materials,2028-09-12,NCT,12,"BOX 548, ACCRA",2017-10-06 13:36:37.295635,,GR/GHPOS/GD/0009/2012,Ghana Police Service /Ministry of Interior
LT CONSULT,https://www.ppaghana.org/contractdetail.asp?Con_ID=498,47792.0,498.0,Supply of Building Materials,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=335,2014-05-12,Ministry of Interior,New Ghana Cedi,Ghana Police Service,Supply of Building Materials,2028-09-12,NCT,3,"BOX 2079, ACCRA",2017-10-06 13:36:32.456360,,GR/GHPOS/GD/0009/2012,Ghana Police Service /Ministry of Interior
BELJASU ENT,https://www.ppaghana.org/contractdetail.asp?Con_ID=499,47895.0,499.0,Supply of Building Materials,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=335,2014-05-12,Ministry of Interior,New Ghana Cedi,Ghana Police Service,Supply of Building Materials,2028-09-12,NCT,14,"BOX TA622, TAIFA-ACCRA",2017-10-06 13:36:38.281219,,GR/GHPOS/GD/0009/2012,Ghana Police Service /Ministry of Interior
BUZY BEAVER CO LTD,https://www.ppaghana.org/contractdetail.asp?Con_ID=500,59662.0,500.0,Supply of Building Materials,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=335,2014-05-12,Ministry of Interior,New Ghana Cedi,Ghana Police Service,Supply of Building Materials,2028-09-12,NCT,15,"BOX C81, KOFORIDUA",2017-10-06 13:36:37.412768,,GR/GHPOS/GD/0009/2012,Ghana Police Service /Ministry of Interior
SAMAPAT CO LTD,https://www.ppaghana.org/contractdetail.asp?Con_ID=501,97935.15,501.0,Supply of Building Materials,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=335,2014-05-12,Ministry of Interior,New Ghana Cedi,Ghana Police Service,Supply of Building Materials,2028-09-12,NCT,16,"BOX 1600, TESHIE-NUNGUA, ACCRA",2017-10-06 13:36:42.746478,,GR/GHPOS/GD/0009/2012,Ghana Police Service /Ministry of Interior
SAZAK LTD,https://www.ppaghana.org/contractdetail.asp?Con_ID=502,58512.0,502.0,Supply of Building Materials,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=335,2014-05-12,Ministry of Interior,New Ghana Cedi,Ghana Police Service,Supply of Building Materials,2028-09-12,NCT,17,"BOX 364, NSAWAM-ER",2017-10-06 13:36:47.882935,,GR/GHPOS/GD/0009/2012,Ghana Police Service /Ministry of Interior
LIZOHEN SERVICES,https://www.ppaghana.org/contractdetail.asp?Con_ID=503,43700.0,503.0,Supply of Building Materials,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=335,2014-05-12,Ministry of Interior,New Ghana Cedi,Ghana Police Service,Supply of Building Materials,2028-09-12,NCT,18,"BOX 214, ACCRA",2017-10-06 13:36:48.031490,,GR/GHPOS/GD/0009/2012,Ghana Police Service /Ministry of Interior
DANBAAFENCO ENT.,https://www.ppaghana.org/contractdetail.asp?Con_ID=504,64158.5,504.0,Supply of Building Materials,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=335,2014-05-12,Ministry of Interior,New Ghana Cedi,Ghana Police Service,Supply of Building Materials,2028-09-12,NCT,19,"BOX KF1515, KOFORIDUA-ER",2017-10-06 13:36:48.319708,,GR/GHPOS/GD/0009/2012,Ghana Police Service /Ministry of Interior
REGI-AKMEN LTD,https://www.ppaghana.org/contractdetail.asp?Con_ID=505,52164.0,505.0,Supply of Building Materials,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=335,2014-05-12,Ministry of Interior,New Ghana Cedi,Ghana Police Service,Supply of Building Materials,2028-09-12,NCT,20,"BOX HP102, HO-VR",2017-10-06 13:36:48.755328,,GR/GHPOS/GD/0009/2012,Ghana Police Service /Ministry of Interior
EUNAT CO LTD,https://www.ppaghana.org/contractdetail.asp?Con_ID=506,41745.0,506.0,Supply of Building Materials,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=335,2014-05-12,Ministry of Interior,New Ghana Cedi,Ghana Police Service,Supply of Building Materials,2028-09-12,NCT,21.0,"BOX 19, NUNGUA-ACCRA",2017-10-09 16:53:39.250111,,GR/GHPOS/GD/0009/2012,Ghana Police Service /Ministry of Interior
QUAYMEX ENT.,https://www.ppaghana.org/contractdetail.asp?Con_ID=507,34968.5,507.0,Supply of Building Materials,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=335,2014-05-12,Ministry of Interior,New Ghana Cedi,Ghana Police Service,Supply of Building Materials,2028-09-12,NCT,21A,"BOX CT4497, C'MENT-ACCRA",2017-10-09 10:22:08.142454,,GR/GHPOS/GD/0009/2012,Ghana Police Service /Ministry of Interior
OSAMANPA ESTATES DEVELOPERS,https://www.ppaghana.org/contractdetail.asp?Con_ID=508,83720.0,508.0,Supply of Building Materials,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=335,2013-05-14,Ministry of Interior,New Ghana Cedi,Ghana Police Service,Supply of Building Materials,2012-12-06,NCT,22,"BOX 1439, DANSOMAN-ACCRA",2017-10-09 10:22:13.323953,,GR/GHPOS/GD/0009/2012,Ghana Police Service /Ministry of Interior
