address,awarding_agency,awarding_agency_link,awarding_agency_ministry,awarding_ministry,company_email,contract_award_price,contract_awarded_to,contract_id,contract_signed_on,contract_title,currency,data_source,estimated_contract_completion_date,tender_description,tender_lot_Numbers,tender_package_no,tender_type
Box CT 5206 Accra,Accra Polytechnic,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=1355,Accra Polytechnic/Ministry of Education,Ministry of Education,,25500,Hallel Ventures,963,2013-10-28,2014 CORPORATE DIARIES,New Ghana Cedi,https://www.ppaghana.org/contractdetail.asp?Con_ID=963,2013-12-08,QUANTITY : 1400  TENDER SECURITY: 2% OF TOTAL TENDER PRICE,2,GR/APOLY/GD/0001/13,NCT
Box 5206 Accra,Accra Polytechnic,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=1355,Accra Polytechnic/Ministry of Education,Ministry of Education,,8500,Hallel Ventures,964,2013-10-28,SUPPLY OF 2014 CALENDERS,New Ghana Cedi,https://www.ppaghana.org/contractdetail.asp?Con_ID=964,2013-12-08,QUANTITY : 1500  TENDER SECURITY: 2% OF TOTAL TENDER PRICE,10,GR/APOLY/GD/00010/13,NCT
Box 16990 Accra,Accra Polytechnic,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=1355,Accra Polytechnic/Ministry of Education,Ministry of Education,,57000,Madson Japan Eng.(Gh) Ltd,965,2013-08-23,Supply of Air Conditioners and Tle Top Fridges,New Ghana Cedi,https://www.ppaghana.org/contractdetail.asp?Con_ID=965,,QUANTITY: 30 air conditioners and 30 tle top fridges,6,GR/APOLY/GD/0024/13,NCT
Box 347 Nungua,Accra Polytechnic,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=1355,Accra Polytechnic/Ministry of Education,Ministry of Education,,50000.32,Ostenfield Enterprise,966,2013-10-28,Procurement of Bunk Beds,New Ghana Cedi,https://www.ppaghana.org/contractdetail.asp?Con_ID=966,2013-12-08,QUANTITY : 200  TENDER SECURITY: 2% OF TOTAL TENDER PRICE,4,GR/APOLY/GD/00027/13,NCT
"KINAPHARMA LTD
P. O. BOX KS 921
KUMASI",Office of the Regional Health DirectorateAshanti Region,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=693,Office of the Regional Health DirectorateAshanti Region/Ministry of Health,Ministry of Health,,1331500,KINAPHARMA LTD,967,2013-08-10,SUPPLY OF ESSENTIAL MEDICINE,New Ghana Cedi,https://www.ppaghana.org/contractdetail.asp?Con_ID=967,2013-08-11,,VARIOUS,GHS/2013/NCT/B.2.1/01,NCT
"LYMENS MEDICAL SUPPLIES LTD
P. O. BOX DS 1776
DANSOMAN - ACCRA",Office of the Regional Health DirectorateAshanti Region,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=693,Office of the Regional Health DirectorateAshanti Region/Ministry of Health,Ministry of Health,,350950,LYMENS MEDICAL SUPPLIES LTD,968,2013-08-10,SUPPLY OF ESSENTIAL MEDICINE,New Ghana Cedi,https://www.ppaghana.org/contractdetail.asp?Con_ID=968,2013-08-11,,VARIOUS,GHS/2013/NCT/B.2.1/01,NCT
"ERNEST CHEMISTS LTD
P. O. BOX 3345
ACCRA",Office of the Regional Health DirectorateAshanti Region,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=693,Office of the Regional Health DirectorateAshanti Region/Ministry of Health,Ministry of Health,,930500,ERNEST CHEMISTS LTD,969,2013-08-10,SUPPLY OF ESSENTIAL MEDICINE,New Ghana Cedi,https://www.ppaghana.org/contractdetail.asp?Con_ID=969,,,VARIOUS,GHS/2013/NCT/B.2.1/01,NCT
"G R INDUSTRIES LTD
P. O. BOX 3368
ACCRA",Office of the Regional Health DirectorateAshanti Region,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=693,Office of the Regional Health DirectorateAshanti Region/Ministry of Health,Ministry of Health,,134700,G R INDUSTRIES LTD,970,2013-08-10,SUPPLY OF ESSENTIAL MEDICINE,New Ghana Cedi,https://www.ppaghana.org/contractdetail.asp?Con_ID=970,2013-08-11,,VARIOUS,GHS/2013/NCT/B.2.1/01,NCT
"GOKALS LTD
P. O. BOX GP 623
ACCRA",Office of the Regional Health DirectorateAshanti Region,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=693,Office of the Regional Health DirectorateAshanti Region/Ministry of Health,Ministry of Health,,224700,GOKALS LTD,971,2013-08-10,SUPPLY OF ESSENTIAL MEDICINE,New Ghana Cedi,https://www.ppaghana.org/contractdetail.asp?Con_ID=971,2013-08-11,,VARIOUS,GHS/2013/NCT/B.2.1/01,NCT
"SHARP PHARMACEUTICALS LTD
P. O. BOX AN 6656
ACCRA - NORTH",Office of the Regional Health DirectorateAshanti Region,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=693,Office of the Regional Health DirectorateAshanti Region/Ministry of Health,Ministry of Health,,9000,SHARP PHARMACEUTICALS LTD,972,2013-08-10,SUPPLY OF ESSENTIAL MEDICINE,New Ghana Cedi,https://www.ppaghana.org/contractdetail.asp?Con_ID=972,2013-08-11,,VARIOUS,GHS/2013/NCT/B.2.1/01,NCT
"SANBAO (GH) PHARMACEUTICALS LTD
P. O. BOX CE 12118
COMM 11, TEMA",Office of the Regional Health DirectorateAshanti Region,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=693,Office of the Regional Health DirectorateAshanti Region/Ministry of Health,Ministry of Health,,385200,SANBAO (GH) PHARMACEUTICALS LTD,973,2013-08-10,SUPPLY OF ESSENTIAL MEDICINE,New Ghana Cedi,https://www.ppaghana.org/contractdetail.asp?Con_ID=973,2013-08-11,,VARIOUS,GHS/2013/NCT/B.2.1/01,NCT
"INTRAVENOUS INFUSIONS LTD
P. O. BOX KF 63
KOFORIDUA",Office of the Regional Health DirectorateAshanti Region,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=693,Office of the Regional Health DirectorateAshanti Region/Ministry of Health,Ministry of Health,,34800,INTRAVENOUS INFUSIONS LTD,974,2013-08-10,SUPPLY OF ESSENTIAL MEDICINE,New Ghana Cedi,https://www.ppaghana.org/contractdetail.asp?Con_ID=974,2013-08-11,,VARIOUS,GHS/2013/NCT/B.2.1/01,NCT
"ROCK CHEMISTS
P. O. BOX 15386
ACCRA - NORTH",Office of the Regional Health DirectorateAshanti Region,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=693,Office of the Regional Health DirectorateAshanti Region/Ministry of Health,Ministry of Health,,47700,ROCK CHEMISTS,975,2013-08-10,SUPPLY OF ESSENTIAL MEDICINE,New Ghana Cedi,https://www.ppaghana.org/contractdetail.asp?Con_ID=975,2013-08-11,,VARIOUS,GHS/2013/NCT/B.2.1/01,NCT
"CSPC MEDSOLUTION (GH) LTD
P. O. BOX GP 13713
ACCRA",Office of the Regional Health DirectorateAshanti Region,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=693,Office of the Regional Health DirectorateAshanti Region/Ministry of Health,Ministry of Health,,190750,CSPC MEDSOLUTION (GH) LTD,976,2013-08-10,SUPPLY OF ESSENTIAL MEDICINE,New Ghana Cedi,https://www.ppaghana.org/contractdetail.asp?Con_ID=976,2013-08-11,,VARIOUS,GHS/2013/NCT/B.2.1/01,NCT
"SPINTEX CHEMIST LTD
P. O. BOX MP 1487
MAMPROBI - ACCRA",Office of the Regional Health DirectorateAshanti Region,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=693,Office of the Regional Health DirectorateAshanti Region/Ministry of Health,Ministry of Health,,793500,SPINTEX CHEMIST LTD,977,2013-08-10,SUPPLY OF ESSENTIAL MEDICINE,New Ghana Cedi,https://www.ppaghana.org/contractdetail.asp?Con_ID=977,2013-08-11,,VARIOUS,GHS/2013/NCT/B.2.1/01,NCT
"GUILIN PHARMACEUTICAL (GH) LTD
P. O. BOX KPMB 58
ACCRA",Office of the Regional Health DirectorateAshanti Region,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=693,Office of the Regional Health DirectorateAshanti Region/Ministry of Health,Ministry of Health,,200000,GUILIN PHARMACEUTICAL (GH) LTD,978,2013-08-10,SUPPLY OF ESSENTIAL MEDICINE,New Ghana Cedi,https://www.ppaghana.org/contractdetail.asp?Con_ID=978,2013-08-11,,VARIOUS,GHS/2013/NCT/B.2.1/01,NCT
"SINOPHARM (GHANA) LTD
P. O. BOX MP 2951
MAMPROBI, ACCRA",Office of the Regional Health DirectorateAshanti Region,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=693,Office of the Regional Health DirectorateAshanti Region/Ministry of Health,Ministry of Health,,66000,SINOPHARM (GHANA) LTD,979,2013-08-10,SUPPLY OF ESSENTIAL MEDICINE,New Ghana Cedi,https://www.ppaghana.org/contractdetail.asp?Con_ID=979,2013-08-11,,VARIOUS,GHS/2013/NCT/B.2.1/01,NCT
"EAST CANTONMENTS PHARMACY LTD
P. O. BOX GP 20149
ACCRA - NORTH",Office of the Regional Health DirectorateAshanti Region,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=693,Office of the Regional Health DirectorateAshanti Region/Ministry of Health,Ministry of Health,,171750,EAST CANTONMENTS PHARMACY LTD,980,2013-08-10,SUPPLY OF ESSENTIAL MEDICINE,New Ghana Cedi,https://www.ppaghana.org/contractdetail.asp?Con_ID=980,2013-08-11,,VARIOUS,GHS/2013/NCT/B.2.1/01,NCT
"OSON'S CHEMIST LTD
P. O. BOX 2884
KUMASI",Office of the Regional Health DirectorateAshanti Region,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=693,Office of the Regional Health DirectorateAshanti Region/Ministry of Health,Ministry of Health,,32130,OSON'S CHEMIST LTD,981,2013-08-10,SUPPLY OF ESSENTIAL MEDICINE,New Ghana Cedi,https://www.ppaghana.org/contractdetail.asp?Con_ID=981,2013-08-11,,VARIOUS,GHS/2013/NCT/B.2.1/01,NCT
"SUPRA PHARMACEUTICALS LTD
P. M. B. CT 333
CANTONMENT ACCRA",Office of the Regional Health DirectorateAshanti Region,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=693,Office of the Regional Health DirectorateAshanti Region/Ministry of Health,Ministry of Health,,4600,SUPRA PHARMACEUTICALS LTD,982,2013-08-10,SUPPLY OF ESSENTIAL MEDICINE,New Ghana Cedi,https://www.ppaghana.org/contractdetail.asp?Con_ID=982,2013-08-11,,VARIOUS,GHS/2013/NCT/B.2.1/01,NCT
"AMEX PHARMACY LTD
P. O. BOX CT 5036
CANTONMENT ACCRA",Office of the Regional Health DirectorateAshanti Region,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=693,Office of the Regional Health DirectorateAshanti Region/Ministry of Health,Ministry of Health,,34100,AMEX PHARMACY LTD,983,2013-08-10,SUPPLY OF ESSENTIAL MEDICINE,New Ghana Cedi,https://www.ppaghana.org/contractdetail.asp?Con_ID=983,2013-08-11,,VARIOUS,GHS/2013/NCT/B.2.1/01,NCT
"ROXIN GHANA LTD
P. M. B 78
CANTONMENT ACCRA",Office of the Regional Health DirectorateAshanti Region,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=693,Office of the Regional Health DirectorateAshanti Region/Ministry of Health,Ministry of Health,,80700,ROXIN GHANA LTD,984,2013-08-10,SUPPLY OF ESSENTIAL MEDICINE,New Ghana Cedi,https://www.ppaghana.org/contractdetail.asp?Con_ID=984,2013-08-11,,VARIOUS,GHS/2013/NCT/B.2.1/01,NCT
"DANNEX LTD
P. O. BOX 5258
ACCRA",Office of the Regional Health DirectorateAshanti Region,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=693,Office of the Regional Health DirectorateAshanti Region/Ministry of Health,Ministry of Health,,242200,DANNEX LTD,985,2013-08-10,SUPPLY OF ESSENTIAL MEDICINE,New Ghana Cedi,https://www.ppaghana.org/contractdetail.asp?Con_ID=985,2013-08-11,,VARIOUS,GHS/2013/NCT/B.2.1/01,NCT
"SURGECARE & PHARMA LTD
P. O. BOX CT 4575
CANTONMENT ACCRA",Office of the Regional Health DirectorateAshanti Region,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=693,Office of the Regional Health DirectorateAshanti Region/Ministry of Health,Ministry of Health,,14000,SURGECARE & PHARMA LTD,986,2013-08-10,SUPPLY OF ESSENTIAL MEDICINE,New Ghana Cedi,https://www.ppaghana.org/contractdetail.asp?Con_ID=986,2013-08-11,,VARIOUS,GHS/2013/NCT/B.2.1/01,NCT
"HILLS PHARMACY LTD
P. O. BOX GP 14672
ACCRA",Office of the Regional Health DirectorateAshanti Region,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=693,Office of the Regional Health DirectorateAshanti Region/Ministry of Health,Ministry of Health,,56000,HILLS PHARMACY LTD,987,2013-08-10,SUPPLY OF ESSENTIAL MEDICINE,New Ghana Cedi,https://www.ppaghana.org/contractdetail.asp?Con_ID=987,2013-08-11,,VARIOUS,GHS/2013/NCT/B.2.1/01,NCT
"PALB PHARMACEUTICALS LTD
P. O. BOX 4437
KUMASI",Office of the Regional Health DirectorateAshanti Region,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=693,Office of the Regional Health DirectorateAshanti Region/Ministry of Health,Ministry of Health,,382000,PALB PHARMACEUTICALS LTD,988,2013-08-10,SUPPLY OF ESSENTIAL MEDICINE,New Ghana Cedi,https://www.ppaghana.org/contractdetail.asp?Con_ID=988,2013-08-11,,VARIOUS,GHS/2013/NCT/B.2.1/01,NCT
"PHARMANOVA LTD
P. O. BOX 579
ACHIMOTA MARKET ACCRA",Office of the Regional Health DirectorateAshanti Region,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=693,Office of the Regional Health DirectorateAshanti Region/Ministry of Health,Ministry of Health,,526006,PHARMANOVA LTD,989,2013-08-10,SUPPLY OF ESSENTIAL MEDICINE,New Ghana Cedi,https://www.ppaghana.org/contractdetail.asp?Con_ID=989,2013-08-11,,VARIOUS,GHS/2013/NCT/B.2.1/01,NCT
"PHYTO-RIKER (GIHOC) PHARMACEUTICALS LTD
P. O. BOX AN 5266
ACCRA - NORTH",Office of the Regional Health DirectorateAshanti Region,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=693,Office of the Regional Health DirectorateAshanti Region/Ministry of Health,Ministry of Health,,60000,PHYTO-RIKER (GIHOC) PHARMACEUTICALS LTD,990,2013-08-10,SUPPLY OF ESSENTIAL MEDICINE,New Ghana Cedi,https://www.ppaghana.org/contractdetail.asp?Con_ID=990,2013-08-11,,VARIOUS,GHS/2013/NCT/B.2.1/01,NCT
"ASPEE PHARMACEUTICALS LTD
P. O. BOX 201
EJISU - KUMASI",Office of the Regional Health DirectorateAshanti Region,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=693,Office of the Regional Health DirectorateAshanti Region/Ministry of Health,Ministry of Health,,75000,ASPEE PHARMACEUTICALS LTD,991,2013-08-10,SUPPLY OF ESSENTIAL MEDICINE,New Ghana Cedi,https://www.ppaghana.org/contractdetail.asp?Con_ID=991,2013-08-11,,VARIOUS,GHS/2013/NCT/B.2.1/01,NCT
"VICDORIS PHARMACEUTICALS LTD
P. O. BOX AN 15088
ACCRA - NORTH",Office of the Regional Health DirectorateAshanti Region,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=693,Office of the Regional Health DirectorateAshanti Region/Ministry of Health,Ministry of Health,,11000,VICDORIS PHARMACEUTICALS LTD,992,2013-08-10,SUPPLY OF ESSENTIAL MEDICINE,New Ghana Cedi,https://www.ppaghana.org/contractdetail.asp?Con_ID=992,2013-08-11,,VARIOUS,GHS/2013/NCT/B.2.1/01,NCT
"DANADAMS PHARMACEUTICALS LTD
P. O. BOX TS 73,
TESHIE - ACCRA",Office of the Regional Health DirectorateAshanti Region,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=693,Office of the Regional Health DirectorateAshanti Region/Ministry of Health,Ministry of Health,,18000,DANADAMS PHARMACEUTICALS LTD,993,2013-08-10,SUPPLY OF ESSENTIAL MEDICINE,New Ghana Cedi,https://www.ppaghana.org/contractdetail.asp?Con_ID=993,2013-08-11,,VARIOUS,GHS/2013/NCT/B.2.1/01,NCT
"MEGA LIFESCIENCES GHANA LTD
P. O. BOX AD 155
ACCRA",Office of the Regional Health DirectorateAshanti Region,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=693,Office of the Regional Health DirectorateAshanti Region/Ministry of Health,Ministry of Health,,25800,MEGA LIFESCIENCES GHANA LTD,994,2013-08-10,SUPPLY OF ESSENTIAL MEDICINE,New Ghana Cedi,https://www.ppaghana.org/contractdetail.asp?Con_ID=994,2013-08-11,,VARIOUS,GHS/2013/NCT/B.2.1/01,NCT
"ESKAY THERAPEUTICS LTD
P. O. BOX DK 431
DARKUMAN ACCRA",Office of the Regional Health DirectorateAshanti Region,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=693,Office of the Regional Health DirectorateAshanti Region/Ministry of Health,Ministry of Health,,43200,ESKAY THERAPEUTICS LTD,995,2013-08-10,SUPPLY OF ESSENTIAL MEDICINE,New Ghana Cedi,https://www.ppaghana.org/contractdetail.asp?Con_ID=995,2013-08-11,,VARIOUS,GHS/2013/NCT/B.2.1/01,NCT
"EMPEROR COMPANY LTD
P. O. BOX KS 9377
KUMASI",Office of the Regional Health DirectorateAshanti Region,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=693,Office of the Regional Health DirectorateAshanti Region/Ministry of Health,Ministry of Health,,172900,EMPEROR COMPANY LTD,996,2013-08-10,SUPPLY OF NON - MEDICINE CONSUMABLES,New Ghana Cedi,https://www.ppaghana.org/contractdetail.asp?Con_ID=996,2013-08-11,,VARIOUS,GHS/2013/NCT/B.2.5/01,NCT
"INVESTRADE INTERNATIONAL COMPANY LTD
P. O. BOX DS 389
DANSOMAN ACCRA",Office of the Regional Health DirectorateAshanti Region,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=693,Office of the Regional Health DirectorateAshanti Region/Ministry of Health,Ministry of Health,,957100,INVESTRADE INTERNATIONAL COMPANY LTD,997,2013-08-10,SUPPLY OF NON - MEDICINE CONSUMABLES,New Ghana Cedi,https://www.ppaghana.org/contractdetail.asp?Con_ID=997,2013-08-11,,VARIOUS,GHS/2013/NCT/B.2.5/01,NCT
"JILLOOF MANUFACTURING & TRADE LTD
DTD, BLOCK 'K' NIC2/101
TEMA",Office of the Regional Health DirectorateAshanti Region,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=693,Office of the Regional Health DirectorateAshanti Region/Ministry of Health,Ministry of Health,,49720,JILLOOF MANUFACTURING & TRADE LTD,998,2013-08-10,SUPPLY OF NON - MEDICINE CONSUMABLES,New Ghana Cedi,https://www.ppaghana.org/contractdetail.asp?Con_ID=998,2013-08-11,,VARIOUS,GHS/2013/NCT/B.2.5/01,NCT
"STAK - FAM COMPANY LTD
P. O. BOX X 618
KUMASI",Office of the Regional Health DirectorateAshanti Region,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=693,Office of the Regional Health DirectorateAshanti Region/Ministry of Health,Ministry of Health,,18100,STAK - FAM COMPANY LTD,999,2013-08-10,SUPPLY OF NON - MEDICINE CONSUMABLES,New Ghana Cedi,https://www.ppaghana.org/contractdetail.asp?Con_ID=999,2013-08-11,,VARIOUS,GHS/2013/NCT/B.2.5/01,NCT
"SANBAO (GH) PHARMACEUTICALS LTD
P. O. BOX CE 12118
COMM 11 TEMA",Office of the Regional Health DirectorateAshanti Region,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=693,Office of the Regional Health DirectorateAshanti Region/Ministry of Health,Ministry of Health,,40000,SANBAO (GH) PHARMACEUTICALS LTD,1000,2013-08-10,SUPPLY OF NON - MEDICINE CONSUMABLES,New Ghana Cedi,https://www.ppaghana.org/contractdetail.asp?Con_ID=1000,2013-08-11,,VARIOUS,GHS/2013/NCT/B.2.5/01,NCT
"PALB PHARMACEUTICALS LTD
P. O. BOX 4437
KUMASI",Office of the Regional Health DirectorateAshanti Region,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=693,Office of the Regional Health DirectorateAshanti Region/Ministry of Health,Ministry of Health,,76500,PALB PHARMACEUTICALS LTD,1001,2013-08-10,SUPPLY OF NON - MEDICINE CONSUMABLES,New Ghana Cedi,https://www.ppaghana.org/contractdetail.asp?Con_ID=1001,2013-08-11,,VARIOUS,GHS/2013/NCT/B.2.5/01,NCT
"BELSHAW LTD
P. O. BOX CE 11542
TEMA",Office of the Regional Health DirectorateAshanti Region,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=693,Office of the Regional Health DirectorateAshanti Region/Ministry of Health,Ministry of Health,,60760,BELSHAW LTD,1002,2013-08-10,SUPPLY OF NON - MEDICINE CONSUMABLES,New Ghana Cedi,https://www.ppaghana.org/contractdetail.asp?Con_ID=1002,2013-08-11,,VARIOUS,GHS/2013/NCT/B.2.5/01,NCT
"ROCHEFAULD (GH) LTD
P. O. BOX CT 5643
ACCRA",Office of the Regional Health DirectorateAshanti Region,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=693,Office of the Regional Health DirectorateAshanti Region/Ministry of Health,Ministry of Health,,57750,ROCHEFAULD (GH) LTD,1003,2013-08-10,SUPPLY OF NON - MEDICINE CONSUMABLES,New Ghana Cedi,https://www.ppaghana.org/contractdetail.asp?Con_ID=1003,2013-08-11,,VARIOUS,GHS/2013/NCT/B.2.5/01,NCT
"ERNEST CHEMISTS LTD
P. O. BOX 3345
ACCRA",Office of the Regional Health DirectorateAshanti Region,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=693,Office of the Regional Health DirectorateAshanti Region/Ministry of Health,Ministry of Health,,85270,ERNEST CHEMISTS LTD,1004,2013-08-10,SUPPLY OF NON - MEDICINE CONSUMABLES,New Ghana Cedi,https://www.ppaghana.org/contractdetail.asp?Con_ID=1004,2013-08-11,,VARIOUS,GHS/2013/NCT/B.2.5/01,NCT
"JOFFASS ENTERPRISE
P. O. BOX KS 11699
KUMASI",Office of the Regional Health DirectorateAshanti Region,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=693,Office of the Regional Health DirectorateAshanti Region/Ministry of Health,Ministry of Health,,17600,JOFFASS ENTERPRISE,1005,2013-08-10,SUPPLY OF NON - MEDICINE CONSUMABLES,New Ghana Cedi,https://www.ppaghana.org/contractdetail.asp?Con_ID=1005,2013-08-11,,VARIOUS,GHS/2013/NCT/B.2.5/01,NCT
"FRANDAK AGENCY
P. O. BOX GP 15416
ACCRA",Office of the Regional Health DirectorateAshanti Region,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=693,Office of the Regional Health DirectorateAshanti Region/Ministry of Health,Ministry of Health,,647445,FRANDAK AGENCY,1006,2013-08-10,SUPPLY OF NON - MEDICINE CONSUMABLES,New Ghana Cedi,https://www.ppaghana.org/contractdetail.asp?Con_ID=1006,2013-08-11,,VARIOUS,GHS/2013/NCT/B.2.5/01,NCT
"P.O. BOX CT 9144
Cantonments
Accra",S.I.C. Life,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=1424,S.I.C. Life/Ministry of Finance,Ministry of Finance,,46500,Below the Line Ghana Limited,1011,2013-08-20,Diaries and Calendars,New Ghana Cedi,https://www.ppaghana.org/contractdetail.asp?Con_ID=1011,2013-12-09,Quantity: Various  Tender Security of GH¢200.00,,GR/SIC/GD/0004/2013,NCT
"P.O.Box KN 854
Kaneshie
Accra",S.I.C. Life,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=1424,S.I.C. Life/Ministry of Finance,Ministry of Finance,,24569.75,Type Company Limited,1012,2013-08-20,Diaries and Calendars,New Ghana Cedi,https://www.ppaghana.org/contractdetail.asp?Con_ID=1012,2013-11-25,Quantity: Various  Tender Security of GH¢200.00,2,GR/SIC/GD/0004/2013,NCT
"P.O.Box KN 854
Kaneshie
Accra",S.I.C. Life,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=1424,S.I.C. Life/Ministry of Finance,Ministry of Finance,,2714,Type Company Limited,1013,2013-08-20,Christmas Cards for 2013,New Ghana Cedi,https://www.ppaghana.org/contractdetail.asp?Con_ID=1013,2013-11-25,"Quantity: 2,000    Tender security of GH¢200.00",,GR/SIC/GD/0005/2013,NCT
"P. O. BOX 384, TAMALE",University For Development Studies,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=1375,University For Development Studies /Ministry of Education,Ministry of Education,,178000,JAPAN MOTORS TRADING CO. LTD,1015,2013-11-18,SUPPLY OF 15 SEATER BUSES8,New Ghana Cedi,https://www.ppaghana.org/contractdetail.asp?Con_ID=1015,2013-12-30,,1,NR/UDS/GD/008/2013,NCT
"P . O BOX 384, TAMALE",University For Development Studies,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=1375,University For Development Studies /,,,181194,JAPAN MOTORS TRADING CO. LTD,1016,2013-11-18,SUPPLY OF PULL TIGHT SEALS,New Ghana Cedi,https://www.ppaghana.org/contractdetail.asp?Con_ID=1016,2013-12-30,"MUST SUBMIT 2% TENDER SECURITY, VAT CERT ETC",1,GR/ECGH/GG/0013/2012,NCT
"P . O BOX 384, TAMALE",University For Development Studies,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=1375,University For Development Studies /,,,276746.4,JAPAN MOTORS TRADING CO. LTD,1017,2013-11-18,,New Ghana Cedi,https://www.ppaghana.org/contractdetail.asp?Con_ID=1017,2013-12-30,,1,,
"P. O. BOX 1644, ACCRA",University For Development Studies,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=1375,University For Development Studies /Ministry of Education,Ministry of Education,,135407.7,TOYOTA GHANA COMPANY LTD,1018,2013-11-18,SUPPLY OF 1NO 4X4 STATION WAGONe,New Ghana Cedi,https://www.ppaghana.org/contractdetail.asp?Con_ID=1018,2013-12-30,,1,NR/UDS/GD/009/2013,NCT
"P. O. BOX MB 516, ACCRA",University For Development Studies,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=1375,University For Development Studies /Ministry of Education,Ministry of Education,,23885,GIFFRED VENTURES,1019,2013-10-09,Supply of Textbooks for Faculties of Mathematical Sciences and Applied Sciences,New Ghana Cedi,https://www.ppaghana.org/contractdetail.asp?Con_ID=1019,2013-12-30,,1,NR/UDS/GD/0011/2013,NCT
P. O. BOX MB516 ACCRA,University For Development Studies,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=1375,University For Development Studies /Ministry of Education,Ministry of Education,,50076,GIFFRED VENTURES,1020,2013-10-09,SUPPLY OF TEXTBOOKS FOR THE FACULTY OF EDUCATION,New Ghana Cedi,https://www.ppaghana.org/contractdetail.asp?Con_ID=1020,2013-12-30,,1,NR/UDS/GD/0010/2013,NCT
"P. O. BOX 1700, TAMALE",University For Development Studies,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=1375,University For Development Studies /Ministry of Education,Ministry of Education,,61621.5,TOTAL SUPPLIES AND SERVUICES LTD,1021,2013-10-09,SUPPLY OF COMPUTERS AND ACCESSORIES FOR SMHS,New Ghana Cedi,https://www.ppaghana.org/contractdetail.asp?Con_ID=1021,2013-12-30,,1,NR/UDS/GD/0014/2013,NCT
"P. O. BOX 1700, TAMALE",University For Development Studies,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=1375,University For Development Studies /Ministry of Education,Ministry of Education,,80500,TOTAL SUPPLIES AND SERVUICES LTD,1022,2013-10-09,Supply and Installation of air Conditioners,New Ghana Cedi,https://www.ppaghana.org/contractdetail.asp?Con_ID=1022,2013-12-30,,1,NR/UDS/GD/0013/2013,NCT
